FID,id_estacio,Direccion,Aproximaci,Lat_Y,Lon_X,CreationDate,Creator,EditDate,Editor,x,y
96,178,Calle Ibiza,Avenida de la Paz,37.373211,-5.973895,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665010.899999999,4491256
97,49,Alameda de Hercules,Calle Amor de Dios,37.396938,-5.993906,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667238.600000001,4494580.2
98,50,Calle de Hernán Cortés,Calle Eslava,37.397572,-5.99669,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667548.5,4494669
99,179,Ronda Urbana Norte,Juventudes Musicales,37.413208,-5.98514,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666262.699999999,4496860.2
100,51,Avenida Torneo,Calle Luis Rey Romero,37.395599,-6.002384,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668182.300000001,4494392.6
101,180,Calle Doctor Jaime Marcos,Calle Doctor Fedriani,37.409676,-5.984358,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666175.699999999,4496365.2
102,52,Calle del Inca Garcilaso,Calle Jerónimo de Aguilar,37.394142,-6.010476,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-669083.100000001,4494188.4
103,181,Ronda Urbana Norte,Calle Doctor Fedriani,37.413418,-5.982516,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665970.600000001,4496889.7
104,53,Calle Reyes Católicos,Calle Gravina,37.389301,-5.999584,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667870.600000001,4493510.1
105,182,Calle Victoria Kent,Avenida Alcalde Manuel del Valle,37.414639,-5.97387,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665008.199999999,4497060.8
106,54,Plaza San Juan de la Palma,Iglesia,37.395222,-5.990926,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666906.800000001,4494339.7
107,55,Calle de Maria Auxiliadora,Calle Gonzalo de Bilbao,37.393433,-5.983788,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666112.199999999,4494089.1
108,56,Plaza Ponce de Leon,Calle Juan de Mesa,37.393101,-5.987667,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666544,4494042.6
109,57,Plaza Cristo de Burgos,Plaza de San Pedro,37.392216,-5.989921,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666795,4493918.6
110,183,Alcalde Manuel del Valle,Calle Pino Montano,37.410767,-5.971348,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664727.399999999,4496518.1
111,58,Calle Regina,Plaza de la Encarnación,37.39426,-5.991683,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666991.100000001,4494205
112,59,Avenida de la Palmera,Avenida del Líbano,37.371174,-5.989169,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666711.199999999,4490970.7
113,184,Avenida Alcalde Manuel del Valle,Calle San Juan de la Salle,37.408543,-5.970511,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664634.199999999,4496206.4
114,60,Plaza de la Concordia,Calle Teniente Borges,37.39389,-5.996835,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667564.600000001,4494153.1
115,61,Plaza del Museo,Calle Alfonso XII,37.392838,-5.999372,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667847,4494005.7
116,62,Plaza de Armas,Avenida Torneo (estación de autobuses),37.391129,-6.003194,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668272.5,4493766.3
117,63,Calle San Pablo,Calle Bailén,37.390331,-5.998184,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667714.800000001,4493654.5
118,185,Avenida Alcalde Manuel del Valle,Calle Alejandro Sawa,37.405136,-5.968862,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664450.699999999,4495729
119,64,Calle Cuesta del Rosario,Plaza de la Pescadería,37.389816,-5.991134,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666930,4493582.3
120,65,Calle Alhóndiga,Cardenal Cervantes,37.391354,-5.988126,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666595.100000001,4493797.8
121,66,Calle Arroyo,Avenida José Laguillo,37.393669,-5.981848,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665896.300000001,4494122.1
122,186,Calle Orfebre Dominguez Vázquez,Calle Pino Montano,37.408657,-5.97309,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664921.300000001,4496222.4
123,67,Calle Leonardo Da Vinci,Calle Albert Einstein,37.404152,-6.007303,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-668729.899999999,4495591.1
124,187,Calle Doctor Laffon,Calle Efeso,37.395451,-5.964004,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663909.899999999,4494371.8
125,68,Calle Juan Antonio Cabestany,Calle Júpiter,37.390232,-5.979951,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665685.100000001,4493640.6
126,188,Avenida Hytasa,Calle Romeral,37.372593,-5.963385,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663841,4491169.5
127,69,Calle Jose Laguillo,Calle Pablo Iglesias,37.392132,-5.978719,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665548,4493906.8
128,70,Estación Renfe Santa Justa,Estación RENFE Santa Justa,37.391315,-5.97621,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665268.699999999,4493792.3
